枠名,楽曲名,歌唱順,配信日,枠URL,コラボ相手様,原曲Artist,作詞,作曲,リリース日
【#初配信】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,メビウス,1,2026-02-22,https://www.youtube.com/live/FBeA6Zd4aIY?si=5Hba8ojUjGRneshN&t=100,なし,柊キライ,柊キライ,柊キライ,2020/11/26
【#初配信】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,QUEEN,2,2026-02-22,https://www.youtube.com/live/FBeA6Zd4aIY?si=Owat2FZmFWmZQ0Wh&t=310,なし,Kanaria,Kanaria,Kanaria,2022/8/6
【#初配信】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,PULSE,3,2026-02-22,https://www.youtube.com/live/FBeA6Zd4aIY?si=Owat2FZmFWmZQ0Wh&t=455,なし,妃玖,niki,niki,2026/2/8
【#初配信】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,メフィスト,4,2026-02-22,https://www.youtube.com/live/FBeA6Zd4aIY?si=O6__UrGeZNel4e00&t=667,なし,女王蜂,薔薇園アヴ,薔薇園アヴ,2023/4/20
【#初配信】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,千本桜,5,2026-02-22,https://www.youtube.com/live/FBeA6Zd4aIY?si=O6__UrGeZNel4e00&t=903,なし,黒うさP,黒うさP,黒うさP,2011/9/17
【#初配信】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,PULSE,6,2026-02-22,https://www.youtube.com/live/FBeA6Zd4aIY?si=O6__UrGeZNel4e00&t=1435,なし,妃玖,niki,niki,2026/2/8
【自己紹介/雑談/歌】色々話そう。,斜陽,1,2026-02-23,https://www.youtube.com/live/fDVXhtnfDSc?si=iZ0oOfIuq-32zc2o&t=6227,なし,ヨルシカ,n-buna,n-buna,2023/5/8
【自己紹介/雑談/歌】色々話そう。,残響散歌,2,2026-02-23,https://www.youtube.com/live/fDVXhtnfDSc?si=iZ0oOfIuq-32zc2o&t=7162,なし,Aimer,Aimer,飛内将大,2022/1/12
【自己紹介/雑談/歌】色々話そう。,フォニイ,3,2026-02-23,https://www.youtube.com/live/fDVXhtnfDSc?si=iZ0oOfIuq-32zc2o&t=8409,なし,ツミキ,ツミキ,ツミキ,2021/6/5
【歌/雑談】急に寒いね、外が。,アヤノの幸福理論,1,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=665,なし,じん,じん,じん,2013/4/22
【歌/雑談】急に寒いね、外が。,青のすみか,2,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=2479,なし,キタニタツヤ,キタニタツヤ,キタニタツヤ,2023/7/19
【歌/雑談】急に寒いね、外が。,GLAMOROUS SKY,3,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=4693,なし,中島美嘉,AI YAZAWA,HYDE,2005/8/31
【歌/雑談】急に寒いね、外が。,美しい鰭,4,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=6242,なし,スピッツ,草野マサム,草野マサム,2023/4/12
【歌/雑談】急に寒いね、外が。,めざせポケモンマスター,5,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=7785,なし,松本梨香,戸田昭吾,たなかひろかず,1997/6/28
【歌/雑談】急に寒いね、外が。,思想犯,6,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=9194,なし,ヨルシカ,n-buna,n-buna,2020/6/24
【歌/雑談】急に寒いね、外が。,藍二乗,7,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=9674,なし,ヨルシカ,n-buna,n-buna,2018/12/28
【歌/雑談】急に寒いね、外が。,アルジャーノン,8,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=10129,なし,ヨルシカ,n-buna,n-buna,2023/2/6
【歌/雑談】急に寒いね、外が。,ノーチラス,9,2026-02-25,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=10667,なし,ヨルシカ,n-buna,n-buna,2019/8/28
